Barrier ID,Site Name,Structure Status, Model Rank - Plamu,Average Weighted Habitat Upstream of Structure - Plamu,Actual Weighted Habitat Upstream of Structure - Plamu,Structure Count Order by Model Rank - Kataq,Average Weighted Habitat Upstream of Structure - Kataq,Actual Weighted Habitat Upstream of Structure - Kataq
7df79d64-77e8-42a6-af8c-f7ae4cbd5e9f,Lower St. Croix - hydroelectric facility,Priority barrier,1,30.58,3.10,1,30.25,3.11
4c4d6443-ba54-46dc-bf2c-51922ccb62cc,Upper St. Croix/Salmon Hole Dam - hydroelectric facility,Priority barrier,1,30.58,86.47,1,30.25,85.23
93c5a3a7-bb1c-462f-bf11-8b28f1083ea8,St. Croix hydroelectric facility,Priority barrier,1,30.58,2.17,1,30.25,2.40
a90277b6-8708-43ef-a867-86827c4c698f,Bog Brook at Rail Line 2,Priority barrier,2,4.35,4.35,3,3.34,3.34
192d3592-aaa6-4289-8892-909c7be79d77,DS Laws Lake at Eliott Rd 2,Unassessed structure,3,2.59,4.56,2,2.22,3.83
2e0ce799-fc19-4187-a8e7-66dff1abb073,DS Laws Lake at Eliott Rd,Unassessed structure,3,2.59,0.61,2,2.22,0.61
77b3d637-21cb-4728-8548-11d5b02daf22,Meander River trib at S Rawdon Rd,Priority barrier,4,2.34,2.34,4,1.82,1.82
753ad5c4-da00-40d1-9cc9-fbc6cbdade4c,Nix Brook at Unnamed Logging Road,Priority barrier,5,2.15,2.15,6,1.68,1.68
48b3708e-4a6d-48be-b637-6b9e87dbd8c2,St. Croix channel DS of Avondale Rd,Unassessed structure,6,1.49,1.26,5,1.34,1.26
e4939efd-23a2-4fa7-9622-e5877d9b323c,Shaw Brook at Avondale Rd,Priority barrier,6,1.49,1.73,5,1.34,1.42
02667d40-b792-43e6-94c0-74427481e12a,Herbert River at Trail,Priority barrier,7,1.56,1.56,9,1.33,1.33
722a6377-6e20-4b44-b90a-2b56ff2c75b5,St. Croix River at Unnamed Track,Unassessed structure,8,1.72,1.72,10,1.43,1.43
3f5bff44-e33d-4afa-9068-d79c1e54174d,Dawson Brook at Unnamed Track,Unassessed structure,9,0.62,0.42,7,0.57,0.42
4faa1490-9559-4c6a-a8e1-e608ed2979d6,Dawson Brook at Service Rd HAN 101-01,Unassessed structure,9,0.62,0.00,7,0.57,0.04
b94e217c-cb4a-42ba-bda4-d95ec137e045,Dawson Brook at Stillwater Rd,Unassessed structure,9,0.62,2.22,7,0.57,1.91
377d7b56-0348-4851-b0de-ce959cc77c54,Dawson Brook at Unnamed Track 2,Unassessed structure,9,0.62,0.27,7,0.57,0.27
46f40b76-8598-42ff-866b-2daf259e34f8,Dawson Brook at HW 101 EB,Data-deficient barrier,9,0.62,0.19,7,0.57,0.19
e768c8c0-f2b8-4764-bd3a-81a5e9f6bee6,Herbert River trib at Trail off Beaver Bank Rd,Unassessed structure,10,1.57,1.57,8,1.04,1.34
2e933746-6c7c-46ca-b1f6-01b9cfd58626,Big St. Margarets Bay Lake Dam 1,Unassessed structure,11,8.44,15.92,11,7.50,14.03
02cad868-026f-41ca-ad6f-e275103bc743,Shady Lake Brook at Unnamed Rd,Unassessed structure,11,8.44,0.96,11,7.50,0.96
11fa2657-d4ea-4e50-b5e6-3e44af69a4c6,Private Quarry W of South Rawdon Rd,Unassessed structure,12,0.85,0.85,17,0.61,0.61
21d1412d-80f7-430d-9b52-e526869c4eca,Stoney Brook at Unnamed Track,Unassessed structure,13,3.36,6.43,12,3.01,5.73
44dc3033-37ad-4a7e-8bbe-14cc5c63d473,Stoney Brook at Unnamed Track 2,Unassessed structure,13,3.36,0.29,12,3.01,0.29
bf20c2c7-5a67-48ec-985e-333f4d13bc4e,Armstrong River at Unnamed Rd,Unassessed structure,14,6.47,6.47,14,6.15,6.15
4e3329ce-4de6-4f10-9690-d23e9699aea1,Lily Lake at Coles Rd,Unassessed structure,15,1.50,1.50,13,1.34,1.34
bcd9f398-3334-4cc4-a3a6-3184feee75f3,DS Hookhorn Lake the Trail off Beamich Rd.,Unassessed structure,16,1.29,1.29,20,0.89,0.89
6e482f67-c10d-475f-9be3-bd57faecd959,Southwest Brook at Unnamed Rd,Unassessed structure,17,1.78,1.67,15,1.86,1.86
6cccef1a-e7ae-4bf9-8133-0b147fb9b027,Southwest Brook at Unnamed Rd 2 ,Unassessed structure,17,1.78,1.90,NA,NA,NA
b8511cfe-9732-4a53-a7dc-5442793c327b,DS Beaver Bank Quarry,Unassessed structure,18,1.20,1.20,NA,NA,NA
10f825d6-416e-4908-a06e-46c3af58ad48,St. Croix River DS Old Cemetary Rd,Unassessed structure,19,0.60,0.60,16,0.60,0.60
9bf9002c-ce27-4853-8649-8e078fb5b836,Thans Brook at Unnamed Rd,Unassessed structure,20,2.65,2.65,19,2.38,2.38
32025ac5-5be9-4b39-9e27-bb1ab066e22e,Herbert River trib at Unnamed Rd,Unassessed structure,NA,NA,NA,8,1.04,0.74
dceb2f64-a5ac-4deb-856e-c3eb54b698e0,DS Ducks Nest Pond at Unnamed Rd,Unassessed structure,NA,NA,NA,18,3.51,3.51
2d852b13-798d-4184-9ca6-bcb6b99bda7e,Nix Brook trib at Eliott Rd 2,Data-deficient barrier,32,0.84,0.84,30,0.64,0.64
0e520f8e-7b68-482f-847c-6a20aacec972,Herbert River trib at Meek Rd,Data-deficient barrier,33,0.81,0.81,33,0.60,0.60
